order,family,subfamily,genus,specificEpithet,scientificName,taxonRank,scientificNameAuthorship,identificationQualifier,originalNameUsage
Zoraptera,Spiralizoridae,Spiralizorinae,Brazilozoros,kukalovae,Brazilozoros kukalovae,species,"Kočárek & Horká, 2023",,"Brazilozoros kukalovae Kočárek & Horká, 2023"
Zoraptera,Zorotypidae,Zorotypinae,Zorotypus,komatsui,Zorotypus komatsui,species,"Matsumura, Maruyama, Ntonifor & Beutel, 2023",,"Zorotypus komatsui Matsumura, Maruyama, Ntonifor & Beutel, 2023"
Zoraptera,,,,javanicus,Zorotypus javanicus,species,"Silvestri, 1913",,"Zorotypus javanicus Silvestri, 1913"
Zoraptera,Zorotypidae,Spermozorinae,Spermozoros,impolitus,Spermozoros impolitus,species,"(Mashimo, Engel, Dallai, Beutel & Machida, 2013)",,"Zorotypus impolitus Mashimo, Engel, Dallai, Beutel & Machida, 2013"
Zoraptera,Spiralizoridae,Spiralizorinae,Brazilozoros,huxleyi,Brazilozoros huxleyi,species,"(Bolivar y Pieltain & Coronado, 1963)",,"Zorotypus huxleyi Bolivar y Pieltain & Coronado, 1963"
Zoraptera,Spiralizoridae,Spiralizorinae,Brazilozoros,huxleyi,Brazilozoros huxleyi,species,"(Bolivar y Pieltain & Coronado, 1963)",cf.,"Brazilozoros huxleyi Bolivar y Pieltain & Coronado, 1963"
Zoraptera,Zorotypidae,Zorotypinae,Usazoros,hubbardi,Usazoros hubbardi,species,"(Caudell, 1918)",,"Zorotypus hubbardi Caudell, 1918"
Zoraptera,Zorotypidae,Spermozorinae,Spermozoros,huangi,Spermozoros huangi,species,"(Yin & Li, 2017)",,"Zorotypus huangi Yin & Li, 2017"
Zoraptera,Spiralizoridae,Spiralizorinae,Centrozoros,hamiltoni,Centrozoros hamiltoni,species,"(New, 1978)",,"Zorotypus hamiltoni New, 1978"
Zoraptera,Spiralizoridae,Spiralizorinae,Spiralizoros,hainanensis,Spiralizoros hainanensis,species,"(Yin & Li, 2015)",,"Zorotypus hainanensis Yin & Li, 2015"
Zoraptera,Spiralizoridae,Spiralizorinae,Centrozoros,gurneyi,Centrozoros gurneyi,species,"(Choe, 1989)",,"Zorotypus gurneyi Choe, 1989"
Zoraptera,Zorotypidae,Zorotypinae,Zorotypus,guineensis,Zorotypus guineensis,species,"Silvestri, 1913",,"Zorotypus guineensis Silvestri, 1913"
Zoraptera,Spiralizoridae,Latinozorinae,Latinozoros,gimmeli,Latinozoros gimmeli,species,"Kočárek & Horká, 2023",,"Latinozoros gimmeli Kočárek & Horká, 2023"
Zoraptera,Zorotypidae,Zorotypinae,Zorotypus,delamarei,Zorotypus delamarei,species,"Paulian, 1949",,"Zorotypus delamarei Paulian, 1949"
Zoraptera,Spiralizoridae,Spiralizorinae,Centrozoros,cramptoni,Centrozoros cramptoni,species,"(Gurney, 1938)",,"Zorotypus cramptoni Gurney, 1938"
Zoraptera,,,,congensis,Zorotypus congensis,species,"van Ryn-Tournel, 1971",,"Zorotypus congensis van Ryn-Tournel, 1971"
Zoraptera,Spiralizoridae,Spiralizorinae,Aspiralizoros,ceylonicus,Aspiralizoros ceylonicus,species,"(Silvestri, 1913)",,"Zorotypus ceylonicus Silvestri, 1913"
Zoraptera,Spiralizoridae,Spiralizorinae,Spiralizoros,cervicornis,Spiralizoros cervicornis,species,"(Mashimo, Yoshizawa & Engel, 2013)",,"Zorotypus cervicornis Mashimo, Yoshizawa & Engel, 2013"
Zoraptera,Zorotypidae,Zorotypinae,Zorotypus,caxiuana,Zorotypus caxiuana,species,"Rafael, Godoi & Engel, 2008",,"Zorotypus caxiuana Rafael, Godoi & Engel, 2008"
Zoraptera,Spiralizoridae,Spiralizorinae,Spiralizoros,caudelli,Spiralizoros caudelli,species,"(Karny, 1927)",,"Zorotypus caudelli Karny, 1927"
Zoraptera,Spiralizoridae,Latinozorinae,Latinozoros,cacaoensis,Latinozoros cacaoensis,species,"Kočárek & Horká, 2023",,Latinozoros cacaoensis Kočárek & Horká 2023
Zoraptera,Spiralizoridae,Spiralizorinae,Spiralizoros,buxtoni,Spiralizoros buxtoni,species,"(Karny, 1932)",,"Zorotypus buxtoni Karny, 1932"
Zoraptera,Spiralizoridae,Spiralizorinae,Brazilozoros,brasiliensis,Brazilozoros brasiliensis,species,"(Silvestri, 1946)",,"Zorotypus brasiliensis Silvestri, 1946"
Zoraptera,Spiralizoridae,Latinozorinae,Latinozoros,barberi,Latinozoros barberi,species,"(Gurney, 1938)",,"Zorotypus barberi Gurney, 1938"
Zoraptera,Spiralizoridae,Latinozorinae,Latinozoros,barberi,Latinozoros barberi,species,"(Gurney, 1938)",cf.,"Zorotypus barberi Gurney, 1938"
Zoraptera,Zorotypidae,Zorotypinae,Zorotypus,asymmetristernum,Zorotypus asymmetristernum,species,"Mashimo, 2018",,"Zorotypus asymmetristernum Mashimo, 2018"
Zoraptera,Zorotypidae,Spermozorinae,Spermozoros,asymmetricus,Spermozoros asymmetricus,species,"(Kočárek, 2017)",,"Zorotypus asymmetricus Kočárek, 2017"
Zoraptera,Zorotypidae,Zorotypinae,Zorotypus,amazonensis,Zorotypus amazonensis,species,"Rafael & Engel, 2006",,"Zorotypus amazonensis Rafael & Engel, 2006"
Zoraptera,,,,,Zoraptera,order,,,"Zoraptera Silvestri, 1913"
